Time,35_1,35_2,35_3,35_4,35_5,35_6,25_1,25_2,25_3,25_4,25_5,25_6,15_1,15_2,15_3,15_4,15_5,15_6,5_1,5_2,5_3,5_4,5_5,5_6
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,5.337246964,12.05169455,5.979752771,8.92072107,6.998167888,11.0234825,7.590099715,4.205754999,5.070646596,7.713307241,4.381157635,8.102756892,3.703518908,2.866308965,2.935824625,4.54877451,2.847051312,4.10060307,1.495879709,3.499665179,1.625620347,2.504644809,1.472488332,3.052232855
0.033,9.650645624,13.17995169,10.15565969,11.31655389,9.665301205,13.46769203,10.5842814,5.708760951,8.486792995,10.03251812,8.178025852,10.12732558,7.5,6.993710692,6.488077588,7.704022989,5.45855615,7.079131054,3.081939082,4.870039683,4.02672956,5.036885246,3.633454106,5.532178932
0.050,11.71311604,15.12559328,12.14526468,13.46671456,11.49598394,15.43037859,12.7278467,7.661651235,10.72549288,12.19085071,10.35603758,11.73288114,9.778787879,9.448652291,9.742011494,10.44047619,8.185470779,9.459220937,5.378703254,7.599823944,6.846267876,7.00441749,5.463920455,7.552142857
0.067,13.74172945,15.91916112,14.31489456,14.72226307,12.36162465,16.29889706,15.0239726,8.712797619,12.82546695,13.36768653,11.79671304,12.71439112,13.01355468,12.43956487,12.48367347,12.12753198,10.91652373,11.82599256,7.37197724,8.968703148,7.697855413,8.604654567,7.337264151,8.894179894
0.083,14.43154714,16.39477088,14.77302632,15.69254161,13.35281511,17.37724467,16.37988701,9.997078252,13.63608647,14.27951573,12.68522758,13.98508987,14.50619403,14.00887053,13.95527778,14.68137255,12.16648148,13.02518315,8.290570175,10.97739899,10.15761047,10.01421569,8.746361186,10.56035539
0.100,15.69511494,16.67312009,15.85147409,14.90312594,13.78671289,18.30722892,17.66220508,11.11770833,14.41470423,15.30373134,13.13141447,15.05631229,15.94633152,15.26357143,14.8668956,15.6196267,13.35197003,14.48054299,9.10532324,12.18412698,12.27393162,12.67422051,10.96331522,13.49952168
0.117,16.05182724,16.60029671,16.31717995,17.14117647,14.19277674,17.91997507,18.67748137,11.25419799,15.17454236,15.50591822,14.27106663,14.86049441,17.7951817,15.80571429,15.80598592,17.56723485,15.80943627,16.33028846,11.72769953,13.69314888,14.29564083,13.0046875,11.93653846,14.01596445
0.133,16.73495605,16.66468583,16.20624049,15.68077519,13.97985348,17.69552239,19.50767857,12.36809211,15.35338137,15.77281184,13.81130319,14.60243268,17.84449312,17.15612245,17.07098492,17.7408209,16.22893939,16.72386185,12.26300101,14.98529412,14.02468124,13.95667299,12.51715686,14.8285056
0.150,16.61745871,16.67214852,15.78891304,16.17422453,14.07304669,18.54895174,18.24528408,12.51359248,15.80780022,16.66704653,14.17868088,15.21303657,18.18872549,18.0557598,17.15166667,18.46861472,16.2191309,18.75634921,12.99766112,15.08550359,15.89359542,14.63321995,13.52244898,15.32717803
0.167,16.62032356,16.70069296,16.24913482,16.45761494,14.26104418,18.22355769,19.11384924,13.17041223,15.97351421,15.58660714,15.03192982,15.56905721,19.43167496,17.54138889,18.95729905,18.04411765,16.84735294,18.74012158,13.31263543,14.8859127,16.87663517,16.10664911,15.0751634,17.59544837
0.183,16.12078284,16.42889168,15.59925629,17.15238704,14.5911243,17.68442164,18.30122058,13.31076389,16.28888081,15.63392857,14.91118421,16.33109244,20.02039801,17.72642857,18.51607143,18.78076923,17.71398559,19.46040373,14.3072313,17.10675711,18.82197121,16.75862363,15.42092803,17.65475399
0.200,16.57220497,17.1336773,16.42450717,16.38095238,14.4221229,17.89955107,19.64442529,13.50750487,15.79973382,16.62345679,14.95198768,16.38915663,19.68545151,18.41428571,19.07495471,19.58823529,19.38965744,19.12571766,14.70807866,18.05132053,17.78135722,16.70188525,15.74294718,17.60483871
0.217,16.27857143,16.61000553,16.3959478,17.85528478,13.71705426,17.61100746,19.67737364,13.84583333,16.42959559,16.64239618,15.14916667,16.44054622,21.31857045,18.73616071,20.22876712,19.89990942,18.27785438,19.11259921,15.47032326,17.32802198,18.31022727,16.92223786,15.49142857,16.71868132
