"","enzyme","temp","pH","activity","lnactivity","revK"
"1","Bgase",25,4.5,145.8,4.98223582,0.00335401643468053
"2","Bgase",25,4.5,142.84,4.961725123,0.00335401643468053
"3","Bgase",25,4.5,120.91,4.795046467,0.00335401643468053
"4","Bgase",25,4.5,122.15,4.805249798,0.00335401643468053
"5","Bgase",20,4.5,143.8,4.968423445,0.00341122292341805
"6","Bgase",20,4.5,94.725,4.550977957,0.00341122292341805
"7","Bgase",20,4.5,68.121,4.221285536,0.00341122292341805
"8","Bgase",20,4.5,148.97,5.003744943,0.00341122292341805
"9","Bgase",15,4.5,59.79,4.090838423,0.00347041471455839
"10","Bgase",15,4.5,93.033,4.532954269,0.00347041471455839
"11","Bgase",15,4.5,117.15,4.763455165,0.00347041471455839
"12","Bgase",15,4.5,65.32,4.179298268,0.00347041471455839
"13","Bgase",10,4.5,49.172,3.895324356,0.00353169698039908
"14","Bgase",10,4.5,51.486,3.941309926,0.00353169698039908
"15","Bgase",10,4.5,83.21,4.421367533,0.00353169698039908
"16","Bgase",10,4.5,53.043,3.971102905,0.00353169698039908
"17","Bgase",10,4.5,29.934,3.398994958,0.00353169698039908
"18","Bgase",5,4.5,24.572,3.201607583,0.00359518245550962
"19","Bgase",5,4.5,17.073,2.837498268,0.00359518245550962
"20","Bgase",5,4.5,10.685,2.368840889,0.00359518245550962
"21","Bgase",5,4.5,23.494,3.156745069,0.00359518245550962
"22","Bgase",25,5.5,1003.7,6.911448451,0.00335401643468053
"23","Bgase",25,5.5,980.84,6.888409347,0.00335401643468053
"24","Bgase",25,5.5,1893.3,7.546076617,0.00335401643468053
"25","Bgase",25,5.5,1161.2,7.057209232,0.00335401643468053
"26","Bgase",25,5.5,724.51,6.585495564,0.00335401643468053
"27","Bgase",25,5.5,791.23,6.673588697,0.00335401643468053
"28","Bgase",20,5.5,836.75,6.72952534,0.00341122292341805
"29","Bgase",20,5.5,824.2,6.714413219,0.00341122292341805
"30","Bgase",20,5.5,523.85,6.261205384,0.00341122292341805
"31","Bgase",20,5.5,649.75,6.476587674,0.00341122292341805
"32","Bgase",15,5.5,464.12,6.140143139,0.00347041471455839
"33","Bgase",15,5.5,574.71,6.353865566,0.00347041471455839
"34","Bgase",15,5.5,846.21,6.740767556,0.00347041471455839
"35","Bgase",15,5.5,528.69,6.270402249,0.00347041471455839
"36","Bgase",10,5.5,384.97,5.953165409,0.00353169698039908
"37","Bgase",10,5.5,525.76,6.264844835,0.00353169698039908
"38","Bgase",10,5.5,512.43,6.239164116,0.00353169698039908
"39","Bgase",10,5.5,494.42,6.203385358,0.00353169698039908
"40","Bgase",10,5.5,334.29,5.81200888,0.00353169698039908
"41","Bgase",5,5.5,513.17,6.240607174,0.00359518245550962
"42","Bgase",5,5.5,441.92,6.09112887,0.00359518245550962
"43","Bgase",5,5.5,343.51,5.839216223,0.00359518245550962
"44","Bgase",5,5.5,273.06,5.609691551,0.00359518245550962
"45","Bgase",5,5.5,260.22,5.561527427,0.00359518245550962
"46","Bgase",5,5.5,284.93,5.652243536,0.00359518245550962
"47","Bgase",25,6.5,1286.2,7.159447414,0.00335401643468053
"48","Bgase",25,6.5,1367.8,7.220958889,0.00335401643468053
"49","Bgase",25,6.5,1931,7.565793282,0.00335401643468053
"50","Bgase",25,6.5,1410.3,7.251557727,0.00335401643468053
"51","Bgase",25,6.5,752.89,6.623919135,0.00335401643468053
"52","Bgase",25,6.5,1214.3,7.101923058,0.00335401643468053
"53","Bgase",20,6.5,912.15,6.81580445,0.00341122292341805
"54","Bgase",20,6.5,911.67,6.815278082,0.00341122292341805
"55","Bgase",20,6.5,636.52,6.456015839,0.00341122292341805
"56","Bgase",20,6.5,975.96,6.883421602,0.00341122292341805
"57","Bgase",15,6.5,856.11,6.752398873,0.00347041471455839
"58","Bgase",15,6.5,706.08,6.559728546,0.00347041471455839
"59","Bgase",15,6.5,1014.7,6.922348281,0.00347041471455839
"60","Bgase",15,6.5,660.7,6.493299879,0.00347041471455839
"61","Bgase",10,6.5,703.35,6.555854634,0.00353169698039908
"62","Bgase",10,6.5,641.57,6.463918297,0.00353169698039908
"63","Bgase",10,6.5,698.32,6.54867745,0.00353169698039908
"64","Bgase",10,6.5,617.94,6.426391365,0.00353169698039908
