,pH,temp,Intercept,Slope,SpecificActivity,lnactivity
ph75_35_1,7.5,35,0.254473402416794,62.240942057997,7.53698907733557,2.01982277565444
ph75_35_2,7.5,35,0.322480378418515,20.2802973830583,2.45581726122971,0.898459602479942
ph75_35_3,7.5,35,0.326278640639763,26.5962042414905,3.22063410736799,1.16957826792262
ph75_35_4,7.5,35,0.460019958259646,125.803531267675,15.2340213644451,2.72353117436822
ph75_35_5,7.5,35,1.3383105066039,157.161772419045,19.0313083788687,2.94608543243223
ph75_35_6,7.5,35,0.815464263612344,83.9746165053037,10.1688012174391,2.3193243287213
ph75_25_1,7.5,25,0.204886415567561,21.2583881857916,2.57425794437321,0.945561315642301
ph75_25_2,7.5,25,0.926937811753628,161.142973399855,19.5134069351387,2.97110176446101
ph75_25_3,7.5,25,0.165874829167354,18.0181612995101,2.18188671986255,0.780189970326522
ph75_25_4,7.5,25,0.386798728329591,94.7748748720898,11.4766450040421,2.44031410114428
ph75_25_5,7.5,25,0.309784228909492,56.3375687501722,6.82212746584116,1.9201713683486
ph75_25_6,7.5,25,-0.0167336999761636,15.9014364385638,1.92556456873234,0.655219207199212
ph75_15_1,7.5,15,0.416368352342127,45.0561494477889,5.45601809719319,1.6967192374699
ph75_15_2,7.5,15,0.17842455538525,29.2413843808664,3.54094888987054,1.26439473921327
ph75_15_3,7.5,15,0.271619590082517,39.0120148697782,4.72411117563721,1.55267943227437
ph75_15_4,7.5,15,-0.00797773087057408,31.6676506688938,3.83475457318636,1.34410543620978
ph75_15_5,7.5,15,0.0973553405460815,63.083526890894,7.6390208344442,2.03326943193398
ph75_15_6,7.5,15,-0.00396414047163484,24.4103197208613,2.95593715369804,1.08381574227065
ph75_5_1,7.5,5,0.0782594482381875,21.1672214382835,2.56321822104214,0.941263586575338
ph75_5_2,7.5,5,-0.00248391429556396,38.0852691190935,4.61188805739023,1.52863733008064
ph75_5_3,7.5,5,0.0721915599691417,27.1942452367406,3.29305313413656,1.19181513874433
ph75_5_4,7.5,5,-0.0215351656699398,25.6216100435964,3.10261684121675,1.13224589773133
ph75_5_5,7.5,5,0.0806204173450204,26.3972165037195,3.19653793599728,1.16206832913397
ph75_5_6,7.5,5,-0.0148779463534232,27.6990355004822,3.35418008013651,1.21020735311549
ph65_35_1,6.5,35,0.305028319463384,56.1017442564466,6.79357059355408,1.91597666396616
ph65_35_2,6.5,35,1.18461054801831,61.068107282491,7.39496611623914,2.00079951416973
ph65_35_3,6.5,35,0.265725176994972,72.8028017361207,8.81596427273336,2.17656419985395
ph65_35_4,6.5,35,1.06531670007846,82.6828128501171,10.0123718685689,2.30382151516591
ph65_35_5,6.5,35,0.144705926558479,69.5551686305965,8.42269620136129,2.13092999093509
ph65_35_6,6.5,35,0.252479440476374,74.156761876567,8.97992038349054,2.1949910162938
ph65_25_1,6.5,25,0.395406538846675,97.3264975356798,11.7856305609612,2.46688104034165
ph65_25_2,6.5,25,0.251746212673233,81.4946290158424,9.86849023238717,2.28934687643469
ph65_25_3,6.5,25,0.288728172252239,72.6264857099463,8.7946135039388,2.17413943224822
ph65_25_4,6.5,25,0.758354538745833,71.1239655861,8.6126677076918,2.1532341087414
ph65_25_5,6.5,25,1.22741307314415,71.0951843428314,8.60918247901474,2.15282936375908
ph65_25_6,6.5,25,0.908383543647887,83.5776666924507,10.120733076039,2.31458609957956
ph65_15_1,6.5,15,0.21015932950434,73.0603840838958,8.84715588515926,2.18009603846123
ph65_15_2,6.5,15,0.974499777413522,107.073800430733,12.9659680209091,2.56232808036916
ph65_15_3,6.5,15,0.387312819192038,130.734408879391,15.8311198252388,2.76197761208825
ph65_15_4,6.5,15,0.989145540426507,93.4413137800413,11.3151590905519,2.42614333913265
ph65_15_5,6.5,15,1.105264999787,84.7196308785456,10.2590178016989,2.32815710433157
ph65_15_6,6.5,15,0.0662767001796411,78.8303076396886,9.54585756574355,2.256107297641
ph65_5_1,6.5,5,2.1302640853364,27.7929830228204,3.36555653791965,1.21359333959053
ph65_5_2,6.5,5,0.511868934456977,81.1517355252402,9.82696797375955,2.28513044037015
ph65_5_3,6.5,5,-0.0425281662446615,64.6080322698719,7.8236289076798,2.05714850160765
ph65_5_4,6.5,5,0.450784303269727,62.220932706034,7.53456606987131,2.0195012418165
ph65_5_5,6.5,5,0.03372743653072,66.8452999272627,8.09454803806697,2.09119075333707
ph65_5_6,6.5,5,0.380790730097535,72.9518918856592,8.83401815802904,2.17860996864302
ph55_35_1,5.5,35,0.650126971491656,216.546839930334,26.2224688978139,3.26661663476516
ph55_35_2,5.5,35,3.02379884756168,263.055655297533,31.8543957586856,3.46117538689649
ph55_35_3,5.5,35,0.685669208357403,211.935705635704,25.6640893543235,3.24509271337706
ph55_35_4,5.5,35,3.0391557012537,190.8771779445,23.1140332667168,3.14043993379756
ph55_35_5,5.5,35,1.69036026363788,268.591210194485,32.5247168594884,3.48200031904133
ph55_35_6,5.5,35,0.360766467566402,174.619103967344,21.1452821210456,3.05141681304616
ph55_25_1,5.5,25,1.71635489837555,251.632356134978,30.47110562572,3.41677887805378
ph55_25_2,5.5,25,0.330668646981497,229.54251341074,27.7961637333318,3.32489801597049
ph55_25_3,5.5,25,0.465395380173802,214.434259103048,25.9666485632597,3.25681296702965
ph55_25_4,5.5,25,2.11673104395268,201.807725827764,24.4376542994558,3.19612515176988
ph55_25_5,5.5,25,0.571771325525398,218.080981298984,26.4082438291739,3.2736762276639
ph55_25_6,5.5,25,1.60587991819557,194.210172502177,23.5176380764355,3.15775069606755
ph55_15_1,5.5,15,0.391130832332729,221.137261516691,26.7783402617868,3.28759336156071
ph55_15_2,5.5,15,0.440148625301527,276.972072777939,33.5395869379535,3.51272644081397
ph55_15_3,5.5,15,0.19510474173476,232.36307022061,28.1377155345269,3.33711086624889
ph55_15_4,5.5,15,1.54768631041349,148.071255494076,17.9305035949858,2.88650337394798
